* T-Spice 13.00 Simulation	Fri Apr 19 14:16:16 2019	C:\Users\i140420\Desktop\Kamran_VLSI_11_17-4\PLA.spc
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_11_17-4\PLA.out C:\Users\i140420\Desktop\Kamran_VLSI_11_17-4\PLA.spc 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 34                MOSFET geometries - 40      
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 18                   Boundary nodes - 5       
*         Total nodes - 23      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-008   1e-007
TRANSIENT ANALYSIS
Time<s>        v(A,Gnd)<V>  v(B,Gnd)<V>  v(C,Gnd)<V>  v(X,Gnd)<V>  v(Y,Gnd)<V>  v(Z,Gnd)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.4230e-001  5.4233e-001  4.2356e-001
 6.250000e-010  3.1250e+000  0.0000e+000  3.1250e+000  4.4984e-001  4.4413e-001  3.2435e-001
 9.375000e-010  4.6875e+000  0.0000e+000  4.6875e+000  4.2998e-001  4.0007e-001  2.8025e-001
 1.000000e-009  5.0000e+000  0.0000e+000  5.0000e+000  4.3077e-001  3.9222e-001  2.7227e-001
 1.094227e-009  5.0000e+000  0.0000e+000  5.0000e+000  4.7088e-001  3.9301e-001  2.7180e-001
 1.141341e-009  5.0000e+000  0.0000e+000  5.0000e+000  5.1177e-001  4.0222e-001  2.8002e-001
 1.267723e-009  5.0000e+000  0.0000e+000  5.0000e+000  7.2468e-001  4.7653e-001  3.4400e-001
 1.380494e-009  5.0000e+000  0.0000e+000  5.0000e+000  1.1009e+000  6.5018e-001  4.7916e-001
 1.481460e-009  5.0000e+000  0.0000e+000  5.0000e+000  1.5612e+000  9.0866e-001  6.5929e-001
 1.573533e-009  5.0000e+000  0.0000e+000  5.0000e+000  2.0127e+000  1.2336e+000  8.6755e-001
 1.669931e-009  5.0000e+000  0.0000e+000  5.0000e+000  2.4510e+000  1.6341e+000  1.1233e+000
 1.767844e-009  5.0000e+000  0.0000e+000  5.0000e+000  2.8296e+000  2.0467e+000  1.4110e+000
 1.877512e-009  5.0000e+000  0.0000e+000  5.0000e+000  3.1675e+000  2.4575e+000  1.7427e+000
 2.003917e-009  5.0000e+000  0.0000e+000  5.0000e+000  3.4550e+000  2.8331e+000  2.0985e+000
 2.158286e-009  5.0000e+000  0.0000e+000  5.0000e+000  3.6892e+000  3.1593e+000  2.4593e+000
 2.360954e-009  5.0000e+000  0.0000e+000  5.0000e+000  3.8681e+000  3.4278e+000  2.8068e+000
 2.650585e-009  5.0000e+000  0.0000e+000  5.0000e+000  3.9897e+000  3.6288e+000  3.1188e+000
 3.111068e-009  5.0000e+000  0.0000e+000  5.0000e+000  4.0598e+000  3.7558e+000  3.3659e+000
 3.965672e-009  5.0000e+000  0.0000e+000  5.0000e+000  4.0932e+000  3.8203e+000  3.5240e+000
 5.000000e-009  5.0000e+000  0.0000e+000  5.0000e+000  4.1021e+000  3.8405e+000  3.5706e+000
 5.999999e-009  5.0000e+000  5.0000e+000  5.0000e+000  4.2236e+000  4.0164e+000  3.7608e+000
 6.500000e-009  5.0000e+000  5.0000e+000  5.0000e+000  4.2553e+000  4.0743e+000  3.8249e+000
 8.373771e-009  5.0000e+000  5.0000e+000  5.0000e+000  4.2877e+000  4.1466e+000  3.9086e+000
 1.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  4.3090e+000  4.2031e+000  3.9743e+000
 1.200000e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9922e+000  3.9414e+000  2.6521e+000
 1.250000e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9890e+000  3.9536e+000  2.2631e+000
 1.304675e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9978e+000  3.9711e+000  2.0233e+000
 1.406382e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9997e+000  3.9814e+000  1.7339e+000
 1.513217e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9823e+000  3.9642e+000  1.6206e+000
 1.600000e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9740e+000  3.9555e+000  1.5709e+000
 1.700000e-008  0.0000e+000  8.8818e-015  0.0000e+000  2.1114e+000  1.9364e+000  9.2328e-001
 1.750000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.6516e+000  1.5565e+000  8.4684e-001
 1.775000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.5006e+000  1.4343e+000  8.2878e-001
 1.822248e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.2904e+000  1.2617e+000  8.0321e-001
 1.875489e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.1598e+000  1.1491e+000  7.8140e-001
 1.955473e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.0472e+000  1.0471e+000  7.5525e-001
 2.080665e-008  0.0000e+000  0.0000e+000  0.0000e+000  9.6028e-001  9.6458e-001  7.3148e-001
 2.295814e-008  0.0000e+000  0.0000e+000  0.0000e+000  8.9050e-001  8.9597e-001  7.0710e-001
 2.707120e-008  0.0000e+000  0.0000e+000  0.0000e+000  8.3510e-001  8.4014e-001  6.8290e-001
 3.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  8.1497e-001  8.1978e-001  6.7162e-001
 3.250000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.0071e-001  7.0477e-001  5.4861e-001
 3.375000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.0901e-001  7.1301e-001  5.5822e-001
 3.500000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.1554e-001  7.1941e-001  5.6618e-001
 3.750000e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.2981e+000  3.2861e+000  2.9673e+000
 3.875000e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.8189e+000  3.8095e+000  3.5234e+000
 4.000000e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.0778e+000  4.0707e+000  3.8148e+000
 4.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  4.1546e+000  4.1432e+000  3.8972e+000
 4.150000e-008  5.0000e+000  5.0000e+000  2.5000e+000  4.1614e+000  4.1480e+000  3.8950e+000
 4.181500e-008  5.0000e+000  5.0000e+000  9.2500e-001  4.0569e+000  4.0415e+000  3.6939e+000
 4.197250e-008  5.0000e+000  5.0000e+000  1.3750e-001  3.9875e+000  3.9709e+000  3.4697e+000
 4.200000e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.9718e+000  3.9550e+000  3.4137e+000
 4.204457e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.9527e+000  3.9354e+000  3.3185e+000
 4.216571e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.9243e+000  3.9057e+000  3.0687e+000
 4.230550e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.9092e+000  3.8890e+000  2.8011e+000
 4.245055e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.9204e+000  3.8985e+000  2.5701e+000
 4.266087e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.9571e+000  3.9323e+000  2.3254e+000
 4.300123e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.0187e+000  3.9887e+000  2.0849e+000
 4.350624e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.0766e+000  4.0379e+000  1.9012e+000
 4.424973e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.1154e+000  4.0645e+000  1.7697e+000
 4.537995e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.1429e+000  4.0774e+000  1.6743e+000
 4.600000e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.1524e+000  4.0808e+000  1.6451e+000
 4.785960e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.8623e+000  2.2043e+000  1.1917e+000
 4.878941e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.8750e+000  1.8098e+000  1.1284e+000
 4.998968e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.8988e+000  1.5143e+000  1.0803e+000
 5.100000e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.9099e+000  1.4467e+000  1.0616e+000
 5.310532e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.6867e+000  9.6761e-001  7.1215e-001
 5.415798e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.3187e+000  9.1658e-001  6.8374e-001
 5.538098e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.0560e+000  8.7643e-001  6.6186e-001
 5.668656e-008  0.0000e+000  0.0000e+000  0.0000e+000  9.6285e-001  8.5256e-001  6.4882e-001
 5.888716e-008  0.0000e+000  0.0000e+000  0.0000e+000  8.9258e-001  8.2938e-001  6.3788e-001
 6.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  8.7467e-001  8.2164e-001  6.3450e-001
 6.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.5814e-001  6.9922e-001  5.0356e-001
 6.150000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.5960e-001  7.0010e-001  5.0322e-001
 6.175000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.6626e-001  7.0670e-001  5.1018e-001
 6.293779e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.8131e-001  7.2178e-001  5.2959e-001
 6.353169e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.7808e-001  7.1858e-001  5.2714e-001
 6.500000e-008  0.0000e+000  0.0000e+000  5.0000e+000  7.7830e-001  7.1893e-001  5.2959e-001
 6.600000e-008  0.0000e+000  5.0000e+000  5.0000e+000  2.4689e+000  2.4403e+000  2.0338e+000
 6.650000e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.2603e+000  3.2411e+000  2.8296e+000
 6.675000e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.5467e+000  3.5312e+000  3.1393e+000
 6.754823e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.0459e+000  4.0379e+000  3.7192e+000
 6.856478e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.0909e+000  4.0848e+000  3.8207e+000
 7.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.1099e+000  4.1041e+000  3.8573e+000
 7.200000e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.8469e+000  3.8387e+000  2.5724e+000
 7.250000e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.8512e+000  3.8420e+000  2.1916e+000
 7.306868e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.8729e+000  3.8624e+000  1.9563e+000
 7.402343e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9000e+000  3.8874e+000  1.7007e+000
 7.501685e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9058e+000  3.8910e+000  1.6013e+000
 7.600000e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.9070e+000  3.8908e+000  1.5479e+000
 7.700000e-008  0.0000e+000  0.0000e+000  0.0000e+000  2.0896e+000  1.9182e+000  9.1550e-001
 7.750000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.6420e+000  1.5484e+000  8.4263e-001
 7.775000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.4944e+000  1.4290e+000  8.2548e-001
 7.821952e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.2892e+000  1.2605e+000  8.0114e-001
 7.874803e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.1606e+000  1.1498e+000  7.8001e-001
 7.954075e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.0491e+000  1.0488e+000  7.5441e-001
 8.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  1.0116e+000  1.0134e+000  7.4484e-001
 8.100000e-008  5.0000e+000  0.0000e+000  0.0000e+000  1.3746e+000  1.0169e+000  7.4916e-001
 8.150000e-008  5.0000e+000  0.0000e+000  0.0000e+000  2.3253e+000  1.1899e+000  9.0155e-001
 8.175000e-008  5.0000e+000  0.0000e+000  0.0000e+000  2.7631e+000  1.2646e+000  9.6714e-001
 8.224701e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.4219e+000  1.3688e+000  1.0587e+000
 8.281662e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.7444e+000  1.4004e+000  1.0880e+000
 8.379259e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.8685e+000  1.3888e+000  1.0786e+000
 8.653365e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.9143e+000  1.3481e+000  1.0416e+000
 9.000000e-008  5.0000e+000  0.0000e+000  0.0000e+000  3.9261e+000  1.3196e+000  1.0138e+000
 9.100000e-008  5.0000e+000  0.0000e+000  5.0000e+000  4.2118e+000  2.1295e+000  1.2504e+000
 9.150000e-008  2.5000e+000  0.0000e+000  5.0000e+000  4.5345e+000  2.8547e+000  1.8993e+000
 9.175000e-008  1.2500e+000  0.0000e+000  5.0000e+000  4.6937e+000  3.1665e+000  2.3046e+000
 9.190750e-008  4.6250e-001  0.0000e+000  5.0000e+000  4.7897e+000  3.3460e+000  2.5583e+000
