* T-Spice 13.00 Simulation	Tue Apr 23 15:58:53 2019	C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\NAND\Cell0.sp
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\NAND\Cell0.out C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\NAND\Cell0.sp 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_7 is attached to only one device (MNMOS_3)
* Warning : Node N_9 is attached to only one device (MNMOS_4)
* Warning : Node N_6 is attached to only one device (MPMOS_1)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 5                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 5                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 9                    Boundary nodes - 6       
*         Total nodes - 15      

* *** 5 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-008   1e-007
TRANSIENT ANALYSIS
Time<s>            v(A)<V>      v(B)<V>      v(C)<V>      v(D)<V>    v(Out)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.250000e-010  3.1250e+000  0.0000e+000  0.0000e+000  3.1250e+000  5.0180e+000
 9.375000e-010  4.6875e+000  0.0000e+000  0.0000e+000  4.6875e+000  5.0008e+000
 1.000000e-009  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9932e+000
 1.125716e-009  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9922e+000
 2.382883e-009  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9992e+000
 3.011467e-009  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9999e+000
 5.000000e-009  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9998e+000
 5.999999e-009  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  4.9974e+000
 6.500000e-009  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  4.9977e+000
 6.750000e-009  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  4.9985e+000
 9.250000e-009  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 1.000000e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  4.9998e+000
 1.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7896e+000
 1.150000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7368e+000
 1.637848e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7368e+000
 2.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7331e+000
 2.106444e-008  5.0000e+000  5.0000e+000  5.0000e+000  4.6778e+000  2.7251e+000
 2.137944e-008  5.0000e+000  5.0000e+000  5.0000e+000  3.1028e+000  2.7266e+000
 2.167414e-008  5.0000e+000  5.0000e+000  5.0000e+000  1.6293e+000  3.5329e+000
 2.182149e-008  5.0000e+000  5.0000e+000  5.0000e+000  8.9254e-001  4.3649e+000
