* T-Spice 13.00 Simulation	Tue Apr 23 16:56:30 2019	C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\Xor\Cell0.sp
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\Xor\Cell0.out C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\Xor\Cell0.sp 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_3 is attached to only one device (MM2)
* Warning : Node N_5 is attached to only one device (MM3)
* Warning : Node N_7 is attached to only one device (MM4)
* Warning : Node N_9 is attached to only one device (MM5)
* Warning : Node N_11 is attached to only one device (MM6)
*
* Warning : Disabling printout of duplicate warning messages.
*         : 	Use '.options maxmsg=0' to view all warnings,
*         : 	or increase maxmsg from 5 to view more messages.
*

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 7                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 7                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 13                   Boundary nodes - 8       
*         Total nodes - 21      

* *** 6 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>            v(A)<V>      v(B)<V>      v(C)<V>      v(D)<V>      v(E)<V>      v(F)<V>  v(in6NOR)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.250000e-011  3.1250e-001  3.1250e-001  3.1250e-001  3.1250e-001  3.1250e-001  3.1250e-001  5.0197e+000
 1.525000e-010  7.6250e-001  7.6250e-001  7.6250e-001  7.6250e-001  7.6250e-001  7.6250e-001  5.0229e+000
 2.425000e-010  1.2125e+000  1.2125e+000  1.2125e+000  1.2125e+000  1.2125e+000  1.2125e+000  5.0209e+000
 2.875000e-010  1.4375e+000  1.4375e+000  1.4375e+000  1.4375e+000  1.4375e+000  1.4375e+000  5.0141e+000
 3.334561e-010  1.6673e+000  1.6673e+000  1.6673e+000  1.6673e+000  1.6673e+000  1.6673e+000  4.9807e+000
 3.605034e-010  1.8025e+000  1.8025e+000  1.8025e+000  1.8025e+000  1.8025e+000  1.8025e+000  4.9500e+000
 3.931855e-010  1.9659e+000  1.9659e+000  1.9659e+000  1.9659e+000  1.9659e+000  1.9659e+000  4.9110e+000
 4.140471e-010  2.0702e+000  2.0702e+000  2.0702e+000  2.0702e+000  2.0702e+000  2.0702e+000  4.8188e+000
 4.314559e-010  2.1573e+000  2.1573e+000  2.1573e+000  2.1573e+000  2.1573e+000  2.1573e+000  4.6572e+000
 4.570969e-010  2.2855e+000  2.2855e+000  2.2855e+000  2.2855e+000  2.2855e+000  2.2855e+000  4.5016e+000
 5.115377e-010  2.5577e+000  2.5577e+000  2.5577e+000  2.5577e+000  2.5577e+000  2.5577e+000  4.3835e+000
 5.952323e-010  2.9762e+000  2.9762e+000  2.9762e+000  2.9762e+000  2.9762e+000  2.9762e+000  4.1860e+000
 7.074716e-010  3.5374e+000  3.5374e+000  3.5374e+000  3.5374e+000  3.5374e+000  3.5374e+000  3.9220e+000
 8.423106e-010  4.2116e+000  4.2116e+000  4.2116e+000  4.2116e+000  4.2116e+000  4.2116e+000  3.6297e+000
 9.995768e-010  4.9979e+000  4.9979e+000  4.9979e+000  4.9979e+000  4.9979e+000  4.9979e+000  3.3663e+000
 1.000000e-009  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  3.3659e+000
