* T-Spice 13.00 Simulation	Wed Apr 10 13:09:05 2019	C:\Users\i140420\Desktop\Kamran_VLSI_9_3-4\v0.75_L9.spc
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_9_3-4\v0.75_L9.out C:\Users\i140420\Desktop\Kamran_VLSI_9_3-4\v0.75_L9.spc 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 43                MOSFET geometries - 46      
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 30                   Boundary nodes - 5       
*         Total nodes - 35      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-008   1e-007
TRANSIENT ANALYSIS
Time<s>        v(A0,Gnd)<V>  v(B0,Gnd)<V>  v(FnXor,Gnd)<V>  v(Z0,Gnd)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.4023e-002
 6.250000e-010  0.0000e+000  3.1250e+000  0.0000e+000 -7.8850e-003
 9.375000e-010  0.0000e+000  4.6875e+000  0.0000e+000  1.6767e-002
 1.000000e-009  0.0000e+000  5.0000e+000  0.0000e+000  2.1351e-002
 1.092039e-009  0.0000e+000  5.0000e+000  4.6020e-001  6.0144e-002
 1.138059e-009  0.0000e+000  5.0000e+000  6.9030e-001  9.5045e-002
 1.228059e-009  0.0000e+000  5.0000e+000  1.1403e+000  1.8126e-001
 1.308697e-009  0.0000e+000  5.0000e+000  1.5435e+000  2.9519e-001
 1.349016e-009  0.0000e+000  5.0000e+000  1.7451e+000  3.6739e-001
 1.408669e-009  0.0000e+000  5.0000e+000  2.0433e+000  4.9434e-001
 1.487184e-009  0.0000e+000  5.0000e+000  2.4359e+000  6.9760e-001
 1.526442e-009  0.0000e+000  5.0000e+000  2.6322e+000  8.1362e-001
 1.595713e-009  0.0000e+000  5.0000e+000  2.9786e+000  1.0377e+000
 1.683665e-009  0.0000e+000  5.0000e+000  3.4183e+000  1.3403e+000
 1.779768e-009  0.0000e+000  5.0000e+000  3.8988e+000  1.6324e+000
 1.849324e-009  0.0000e+000  5.0000e+000  4.2466e+000  1.9041e+000
 1.889594e-009  0.0000e+000  5.0000e+000  4.4480e+000  2.0997e+000
 1.932490e-009  0.0000e+000  5.0000e+000  4.6625e+000  2.3183e+000
 1.982033e-009  0.0000e+000  5.0000e+000  4.9102e+000  2.5548e+000
 2.000000e-009  0.0000e+000  5.0000e+000  5.0000e+000  2.6357e+000
 2.044593e-009  0.0000e+000  5.0000e+000  5.0000e+000  2.7571e+000
 2.166805e-009  0.0000e+000  5.0000e+000  5.0000e+000  2.9816e+000
 2.406783e-009  0.0000e+000  5.0000e+000  5.0000e+000  3.2970e+000
 2.704538e-009  0.0000e+000  5.0000e+000  5.0000e+000  3.4771e+000
 3.199440e-009  0.0000e+000  5.0000e+000  5.0000e+000  3.6678e+000
 4.040997e-009  0.0000e+000  5.0000e+000  5.0000e+000  3.8517e+000
 5.000000e-009  0.0000e+000  5.0000e+000  5.0000e+000  3.9544e+000
 5.999999e-009  5.0000e+000  5.0000e+000  5.0000e+000  2.4397e+000
 6.500000e-009  5.0000e+000  5.0000e+000  5.0000e+000  1.6785e+000
 6.750000e-009  5.0000e+000  5.0000e+000  5.0000e+000  1.3716e+000
 7.094111e-009  5.0000e+000  5.0000e+000  5.0000e+000  1.0112e+000
 7.438651e-009  5.0000e+000  5.0000e+000  5.0000e+000  7.4332e-001
 7.838751e-009  5.0000e+000  5.0000e+000  5.0000e+000  5.1214e-001
 8.338895e-009  5.0000e+000  5.0000e+000  5.0000e+000  3.1825e-001
 9.021592e-009  5.0000e+000  5.0000e+000  5.0000e+000  1.6639e-001
 1.007452e-008  5.0000e+000  5.0000e+000  5.0000e+000  6.0562e-002
 1.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.7800e-002
 1.200000e-008  5.0000e+000  0.0000e+000  5.0000e+000  8.5869e-001
 1.250000e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.4624e+000
 1.275000e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.7505e+000
 1.322846e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.2573e+000
 1.369023e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.6649e+000
 1.392111e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.8430e+000
